season,team,score
2007,nets,0.09120230078563411
2007,cavaliers,0.08083333333333333
2007,spurs,0.0376569264069264
2007,suns,0.08267645846217277
2007,heat,0.1765029761904762
2007,knicks,0.17252371332371336
2007,bulls,-0.042180735930735944
2007,hornets,0.26666666666666666
2007,trail blazers,0.13189484126984127
2007,rockets,-0.2
2007,warriors,-0.10357142857142858
2007,celtics,0.1759848484848485
2007,timberwolves,0.0
2007,lakers,0.10286458333333333
2007,hawks,0.03333333333333334
2007,magic,0.22142857142857145
2008,pistons,0.5
2008,trail blazers,0.5
2008,warriors,-0.12916666666666665
2008,clippers,-0.09050925925925925
2008,celtics,-0.014583333333333337
2008,lakers,0.23511904761904762
2008,hawks,0.15
2008,magic,0.27144255050505056
2008,knicks,0.06298245350328684
2008,cavaliers,0.038035714285714284
2008,nuggets,0.0982026515151515
2008,bulls,0.04242424242424242
2008,suns,0.07710884353741494
2008,nets,0.1600723140495868
2008,rockets,-0.0422077922077922
2008,spurs,0.08666666666666667
2008,bucks,0.01717171717171717
2008,heat,0.26666666666666666
2008,mavericks,0.16
2008,76ers,-0.12000000000000002
2008,kings,-0.01319444444444445
2009,nets,0.12740744916092137
2009,pistons,0.12435185185185185
2009,bucks,0.10796296296296296
2009,clippers,0.09418725718725719
2009,magic,0.1458183879612451
2009,timberwolves,0.1007260101010101
2009,suns,0.29051282051282057
2009,knicks,0.13222775158043015
2009,lakers,0.08434821571726334
2009,celtics,0.12419642857142858
2009,hornets,0.1051948051948052
2009,cavaliers,0.1902483164983165
2009,spurs,0.11347402597402598
2009,nuggets,-0.00714285714285715
2009,heat,-0.0838320707070707
2009,raptors,0.25
2009,grizzlies,0.24416666666666667
2009,thunder,-0.03333333333333334
2009,rockets,-0.027083333333333334
2009,wizards,0.09814814814814814
2009,kings,0.26785714285714285
2009,trail blazers,0.24583333333333335
2010,nets,0.10500291717884311
2010,knicks,0.057385371963294046
2010,lakers,0.10073593073593073
2010,heat,0.12928999377528788
2010,cavaliers,0.19759089191232043
2010,pistons,-0.02978675645342314
2010,magic,0.09592532467532468
2010,trail blazers,0.003030303030303022
2010,raptors,0.21736111111111112
2010,celtics,0.1701118326118326
2010,bucks,0.014676677489177496
2010,wizards,0.06135416666666667
2010,grizzlies,-0.09999999999999999
2010,hornets,0.23791666666666667
2010,bulls,0.15959470664016118
2010,thunder,-0.039404761904761894
2010,nuggets,0.0940726711560045
2010,timberwolves,-0.06625
2010,pacers,0.13636363636363635
2010,rockets,0.13636363636363635
2010,clippers,0.0
2010,mavericks,0.32666666666666666
2010,jazz,-0.05454545454545454
2010,hawks,0.11458333333333334
2010,warriors,0.22000000000000003
2011,lakers,0.0749217077403352
2011,knicks,0.08004997777777988
2011,heat,0.07218915343915343
2011,thunder,0.0433459595959596
2011,mavericks,0.09483138785817356
2011,cavaliers,0.12893518518518518
2011,nets,0.08133820569005751
2011,timberwolves,0.26625
2011,hornets,0.10991952491952492
2011,rockets,0.06874999999999999
2011,nuggets,0.15170454545454545
2011,magic,0.17124149659863946
2011,clippers,0.16226445271899817
2011,trail blazers,0.006052875695732832
2011,celtics,0.09886363636363636
2011,hawks,0.18125000000000002
2011,raptors,0.037037037037037035
2011,warriors,0.14369544596817324
2011,76ers,0.09084896584896586
2011,jazz,0.062412587412587414
2011,bulls,0.2285515873015873
2011,pistons,-0.03227272727272729
2011,suns,0.3056541606541606
2011,grizzlies,0.1558922558922559
2011,spurs,0.24719298245614038
2011,kings,0.07716956203969191
2011,bucks,-0.05714285714285715
2012,heat,0.08114853896103896
2012,thunder,0.1454801587301587
2012,rockets,0.051061121418264264
2012,knicks,0.10125087214372928
2012,magic,0.19064844877344878
2012,celtics,0.23444318181818186
2012,pistons,0.525
2012,mavericks,0.1174747474747475
2012,nets,0.08936876202501204
2012,hornets,0.3675568181818182
2012,lakers,0.19820821854912765
2012,kings,0.14798396048396048
2012,hawks,0.12235449735449734
2012,spurs,0.16666666666666669
2012,wizards,-0.007338664421997774
2012,bulls,0.1471387987012987
2012,pacers,0.10333333333333333
2012,trail blazers,-0.22666666666666666
2012,warriors,0.20238095238095238
2012,76ers,0.11884319384319385
2012,clippers,0.37
2012,suns,0.2206439393939394
2012,timberwolves,0.27
2012,raptors,0.13333333333333333
2012,nuggets,0.14761904761904762
2013,cavaliers,0.125
2013,knicks,0.11665403555524521
2013,mavericks,0.07346938775510203
2013,rockets,0.10685657596371882
2013,nets,0.08477124132481274
2013,heat,0.1020959595959596
2013,magic,0.14789411976911973
2013,spurs,0.0972392934446506
2013,clippers,0.0716017316017316
2013,celtics,0.0897879589546256
2013,lakers,0.131188801278087
2013,kings,0.060185185185185196
2013,pistons,0.3333333333333333
2013,pacers,0.016547619047619047
2013,76ers,-0.4666666666666666
2013,raptors,0.3181818181818182
2013,bulls,0.12563852813852813
2013,hawks,0.3787545787545787
2013,thunder,0.13749999999999998
2014,celtics,-0.12972582972582972
2014,nets,-0.003710412394622927
2014,clippers,0.11438311688311689
2014,hawks,0.040257936507936506
2014,cavaliers,0.1567658199643494
2014,bulls,0.19966517857142857
2014,knicks,0.08870919579953193
2014,thunder,0.1875
2014,spurs,0.09357142857142857
2014,76ers,0.11452861952861954
2014,bucks,0.05585858585858585
2014,kings,0.12083333333333335
2014,timberwolves,0.21791666666666668
2014,pacers,-0.19480519480519481
2014,magic,0.033333333333333326
2014,heat,0.1720429292929293
2014,suns,-0.2833333333333334
2014,wizards,0.125
2014,lakers,0.13373232323232323
2014,rockets,0.1722222222222222
2014,warriors,0.08666666666666667
2014,mavericks,0.30416666666666664
2014,grizzlies,0.09013888888888888
2014,nuggets,0.1775
2015,warriors,0.14683568489124044
2015,pelicans,0.28814102564102567
2015,cavaliers,0.1490432098765432
2015,heat,0.21496212121212124
2015,76ers,0.03333333333333332
2015,thunder,0.0875
2015,spurs,0.17412500000000003
2015,raptors,0.0
2015,knicks,0.10750794729961398
2015,timberwolves,0.13527777777777777
2015,lakers,0.271875
2015,clippers,0.19212962962962962
2015,mavericks,0.19212962962962962
2015,bucks,0.19636363636363635
2015,trail blazers,0.15535714285714286
2015,suns,0.18695887445887446
2015,nets,0.07975758616383616
2015,wizards,0.2375
2015,bulls,0.29500000000000004
2015,kings,0.06100370589006953
2016,cavaliers,0.07914241095162149
2016,warriors,0.158559205500382
2016,knicks,0.18607154508171253
2016,trail blazers,0.0
2016,jazz,0.0
2016,spurs,0.06666666666666667
2016,lakers,0.06607323232323233
2016,76ers,0.13682299182299182
2016,celtics,0.10208333333333333
2016,nets,0.11754419191919192
2016,bulls,0.14124863898727535
2016,thunder,0.22645454545454546
2016,hornets,0.1
2016,suns,0.13636363636363635
2016,heat,0.09
2016,magic,0.24659090909090908
2016,kings,-0.2073863636363637
2016,hawks,-0.195
2017,trail blazers,0.05902777777777778
2017,lakers,0.17945928030303032
2017,knicks,0.08198970162285378
2017,celtics,0.10416666666666666
2017,76ers,0.1208110119047619
2017,warriors,0.11172389479207662
2017,cavaliers,0.1795138888888889
2017,kings,0.31574074074074077
2017,heat,0.135
2017,rockets,0.18575757575757573
2017,spurs,0.21979166666666666
2017,bulls,0.07886363636363637
2017,nets,0.18961309523809525
2017,hawks,0.17686688311688314
2017,bucks,0.1696969696969697
2017,pacers,0.2
2017,thunder,0.2
2017,clippers,0.0
2017,magic,0.5
2018,spurs,0.15935460042602903
2018,warriors,0.17669753086419748
2018,cavaliers,0.19446212121212123
2018,suns,0.07857142857142858
2018,mavericks,0.12803030303030305
2018,lakers,0.0667848124098124
2018,celtics,0.05357142857142856
2018,knicks,0.0659090909090909
2018,bucks,0.09999999999999999
2018,clippers,0.12946428571428573
2018,pelicans,0.06666666666666667
2018,raptors,0.06904761904761905
2018,timberwolves,0.13333333333333333
2018,76ers,0.2486742424242424
2018,nets,-0.05965277777777777
2018,thunder,0.03333333333333334
2018,rockets,0.03333333333333334
2018,pistons,0.125
2018,hornets,0.00416666666666667
2018,magic,0.1303030303030303
2018,kings,0.151489898989899
2018,heat,0.0125
2018,hawks,0.1590909090909091
2019,warriors,0.15395408163265306
2019,rockets,0.05241402116402118
2019,raptors,0.2365951178451178
2019,clippers,0.1759722222222222
2019,lakers,0.06564153439153439
2019,spurs,0.18035714285714285
2019,nets,0.24623376623376622
2019,knicks,0.17449382215007214
2019,kings,0.14833333333333334
2019,pelicans,0.09596894267348813
2019,thunder,0.225
2019,grizzlies,0.07363636363636364
2019,bucks,0.04444444444444444
2019,heat,0.03567099567099568
2019,cavaliers,0.08522727272727275
2019,celtics,0.17166666666666666
2019,76ers,0.03750000000000002
2019,wizards,0.15625
2019,nuggets,-0.36
2019,jazz,0.26666666666666666
2019,timberwolves,0.02000000000000004
2020,magic,0.1890625
2020,heat,0.04999999999999999
2020,hawks,0.325
2020,warriors,0.1699287518037518
2020,lakers,0.13720598845598844
2020,suns,0.0867929292929293
2020,clippers,0.159375
2020,nets,0.1475595238095238
2020,bucks,0.17463468013468014
2020,rockets,0.10347222222222223
2020,timberwolves,0.115625
2020,thunder,0.0
2020,nuggets,0.009276437847866418
2020,raptors,-0.3
2020,hornets,0.10625
2020,celtics,0.16666666666666666
2020,jazz,-0.3
2020,76ers,0.5181818181818182
2020,pelicans,0.10531505531505532
2020,knicks,0.13805349794238683
2020,wizards,-0.3
2020,bulls,0.14615384615384616
2021,warriors,0.21904761904761905
2021,nets,0.15075178188814553
2021,bucks,0.1805820105820106
2021,bulls,0.1935606060606061
2021,jazz,0.1935606060606061
2021,lakers,0.08150252525252526
2021,spurs,0.062121212121212126
2021,pistons,0.225
2021,clippers,0.10555555555555554
2021,suns,0.10555555555555554
2021,heat,0.1434285714285714
2021,knicks,0.22626262626262625
2021,raptors,0.07363636363636365
2022,timberwolves,0.0
2022,suns,-0.08
2022,nets,0.320625
2022,lakers,0.33571428571428574
2022,celtics,0.08553206997084549
2022,rockets,0.19999999999999998
2022,thunder,0.03571428571428572
2022,magic,0.3
2022,hornets,0.2
2022,knicks,0.16636228354978355
2022,bucks,0.3
2022,pelicans,0.025
2022,hawks,0.19999999999999998
2022,heat,0.1388888888888889
